x_m,y_m,w_tr_right_m,w_tr_left_m
6.513659,-5.616784,0.2516,0.1500
6.466947,-5.651102,0.2516,0.1500
6.420031,-5.684720,0.2516,0.1500
6.372003,-5.717522,0.2516,0.1500
6.323807,-5.749399,0.2516,0.1500
6.275520,-5.780245,0.2516,0.1500
6.226240,-5.809962,0.2516,0.1500
6.176916,-5.838457,0.2516,0.1500
6.127632,-5.864772,0.2575,0.1500
6.077489,-5.889807,0.2633,0.1500
6.027445,-5.913482,0.2731,0.1500
5.976602,-5.934854,0.2827,0.1500
5.925920,-5.954838,0.2904,0.1500
5.874507,-5.973367,0.2995,0.1500
5.823325,-5.990383,0.3093,0.1500
5.772467,-6.005833,0.3207,0.1500
5.721048,-6.019667,0.3345,0.1500
5.669050,-6.031845,0.3491,0.1500
5.617440,-6.042328,0.3645,0.1500
5.566319,-6.051086,0.3827,0.1500
5.514805,-6.058094,0.4031,0.1500
5.462888,-6.063332,0.4244,0.1500
5.411540,-6.066785,0.4531,0.1500
5.359883,-6.067575,0.4818,0.1500
5.308892,-6.066681,0.4894,0.1500
5.257693,-6.064103,0.5004,0.1500
5.206279,-6.058977,0.5120,0.1500
5.155629,-6.052294,0.5221,0.1500
5.104870,-6.044071,0.5358,0.1500
5.054000,-6.033455,0.5536,0.1500
5.004000,-6.020585,0.5569,0.1500
4.954000,-6.006470,0.5569,0.1500
4.904000,-5.991141,0.5569,0.1500
4.854000,-5.973764,0.5569,0.1500
4.804000,-5.955365,0.5569,0.1500
4.754000,-5.935987,0.5569,0.1500
4.704000,-5.914812,0.5569,0.1500
4.654000,-5.892878,0.5569,0.1500
4.604000,-5.870244,0.5528,0.1500
4.554000,-5.846105,0.5485,0.1500
4.504000,-5.820643,0.5303,0.1500
4.454000,-5.793059,0.5181,0.1500
4.404000,-5.765277,0.5085,0.1500
4.354000,-5.735520,0.4962,0.1500
4.304000,-5.704848,0.4901,0.1500
4.254000,-5.673455,0.4830,0.1500
4.204000,-5.640553,0.4769,0.1500
4.154000,-5.607093,0.4722,0.1500
4.104000,-5.572175,0.4524,0.1500
4.054000,-5.536870,0.4363,0.1500
4.004000,-5.500393,0.3899,0.1500
3.954000,-5.463704,0.3664,0.1500
3.904000,-5.425908,0.3370,0.1500
3.854000,-5.388080,0.3031,0.1500
3.804000,-5.349442,0.2643,0.1500
3.754000,-5.310959,0.2574,0.1500
3.704000,-5.271741,0.2004,0.1500
3.654000,-5.231885,0.1884,0.1500
3.604000,-5.192472,0.1647,0.1500
3.554000,-5.152729,0.1500,0.1500
3.504000,-5.111886,0.1500,0.1500
3.454000,-5.071023,0.1500,0.1500
3.404000,-5.030237,0.1500,0.1500
3.354000,-4.989623,0.1500,0.1500
3.304000,-4.950261,0.1500,0.1500
3.254000,-4.911381,0.1500,0.1500
3.204000,-4.872212,0.1500,0.1500
3.154000,-4.833833,0.1500,0.1500
3.104000,-4.796341,0.1500,0.1500
3.054000,-4.760816,0.1500,0.1500
3.004000,-4.726488,0.1500,0.1500
2.954000,-4.693454,0.1500,0.1503
2.904000,-4.660944,0.1500,0.2070
2.854000,-4.630038,0.1500,0.2646
2.804000,-4.600832,0.1500,0.3155
2.754000,-4.573423,0.1500,0.3652
2.704000,-4.547035,0.1500,0.3689
2.654000,-4.521763,0.1500,0.3759
2.604000,-4.498567,0.1500,0.3785
2.554000,-4.477537,0.1500,0.3785
2.504000,-4.456909,0.1500,0.3785
2.454000,-4.437637,0.1500,0.3785
2.404000,-4.419690,0.1500,0.3785
2.354000,-4.402162,0.1500,0.3785
2.304000,-4.385996,0.1500,0.3785
2.254000,-4.371148,0.1500,0.3785
2.204000,-4.357573,0.1500,0.3781
2.154000,-4.345221,0.1500,0.3781
2.104000,-4.334038,0.1500,0.3781
2.054000,-4.324086,0.1500,0.3781
2.004000,-4.315419,0.1500,0.3781
1.954000,-4.307978,0.1500,0.3781
1.904000,-4.302684,0.1500,0.3757
1.854000,-4.298602,0.1500,0.3751
1.804000,-4.295666,0.1500,0.3749
1.754000,-4.293808,0.1500,0.3749
1.704000,-4.292955,0.1500,0.3749
1.654000,-4.293032,0.1500,0.3749
1.604000,-4.293091,0.1500,0.3749
1.554000,-4.294035,0.1500,0.3749
1.504000,-4.295776,0.1500,0.3656
1.454000,-4.298225,0.1500,0.3579
1.404000,-4.301291,0.1500,0.3519
1.354000,-4.304880,0.1500,0.3429
1.304000,-4.309878,0.1500,0.3345
1.254000,-4.315317,0.1500,0.3315
1.204000,-4.321098,0.1500,0.3263
1.154000,-4.328102,0.1500,0.3252
1.104000,-4.334485,0.1500,0.3242
1.054000,-4.341124,0.1500,0.3241
1.004000,-4.348021,0.1500,0.2947
0.954000,-4.356160,0.1500,0.2574
0.904000,-4.364558,0.1500,0.2228
0.854000,-4.373096,0.1500,0.1500
0.804000,-4.383510,0.1500,0.1500
0.754000,-4.393828,0.1500,0.1500
0.704000,-4.403929,0.1500,0.1500
0.654000,-4.414676,0.1500,0.1500
0.604000,-4.425945,0.1500,0.1500
0.554000,-4.436630,0.1500,0.1500
0.504000,-4.447588,0.1500,0.1500
0.454000,-4.459679,0.1500,0.1500
0.404000,-4.471910,0.1500,0.1500
0.354000,-4.483288,0.1856,0.1500
0.304000,-4.494671,0.2061,0.1500
0.254000,-4.506919,0.2523,0.1500
0.204000,-4.519038,0.2764,0.1500
0.154000,-4.531021,0.2955,0.1500
0.104000,-4.542743,0.3743,0.1500
0.054000,-4.554083,0.3836,0.1500
0.004000,-4.565902,0.3941,0.1500
-0.046000,-4.577210,0.3990,0.1500
-0.096000,-4.587886,0.4006,0.1500
-0.146000,-4.598682,0.4012,0.1500
-0.196000,-4.609479,0.4022,0.1500
-0.246000,-4.619293,0.4022,0.1500
-0.296000,-4.628010,0.4022,0.1500
-0.346000,-4.636386,0.4022,0.1500
-0.396000,-4.643438,0.4022,0.1500
-0.446000,-4.650040,0.4022,0.1500
-0.496870,-4.656083,0.4022,0.1500
-0.547629,-4.662446,0.4022,0.1500
-0.598279,-4.668159,0.3999,0.1500
-0.648823,-4.673123,0.3980,0.1500
-0.699263,-4.677244,0.3972,0.1500
-0.749604,-4.680431,0.3966,0.1500
-0.799847,-4.682595,0.3959,0.1500
-0.849996,-4.684633,0.3957,0.1500
-0.900052,-4.684725,0.3928,0.1500
-0.950020,-4.683776,0.3785,0.1500
-1.000772,-4.681707,0.3643,0.1500
-1.051329,-4.678443,0.3499,0.1500
-1.101697,-4.673913,0.3409,0.1500
-1.151881,-4.669033,0.3329,0.1500
-1.201887,-4.662867,0.3209,0.1500
-1.251721,-4.655356,0.3096,0.1500
-1.301388,-4.646441,0.3029,0.1500
-1.351765,-4.637053,0.2976,0.1500
-1.401874,-4.626271,0.2898,0.1500
-1.451726,-4.614049,0.2829,0.1500
-1.501327,-4.600344,0.2788,0.1500
-1.550687,-4.586098,0.2764,0.1500
-1.600683,-4.570406,0.2732,0.1500
-1.650344,-4.553236,0.2663,0.1500
-1.700550,-4.535543,0.2611,0.1500
-1.750332,-4.516432,0.2506,0.1500
-1.799702,-4.495883,0.2401,0.1500
-1.848675,-4.473876,0.2309,0.1500
-1.898136,-4.450397,0.2208,0.1500
-1.947117,-4.425433,0.2132,0.1500
-1.995634,-4.399958,0.2073,0.1500
-2.043706,-4.373098,0.2013,0.1500
-2.092218,-4.344852,0.1968,0.1500
-2.140206,-4.315220,0.1926,0.1500
-2.187690,-4.284208,0.1898,0.1500
-2.234690,-4.251823,0.1885,0.1500
-2.282095,-4.218073,0.1884,0.1500
-2.328944,-4.182972,0.1861,0.1500
-2.376130,-4.146536,0.1777,0.1500
-2.422692,-4.109767,0.1707,0.1500
-2.469528,-4.071819,0.1615,0.1500
-2.515680,-4.032719,0.1531,0.1500
-2.562047,-3.992497,0.1500,0.1500
-2.608545,-3.951185,0.1500,0.1500
-2.654225,-3.908818,0.1500,0.1500
-2.699989,-3.865435,0.1500,0.1500
-2.745761,-3.821076,0.1500,0.1500
-2.790595,-3.775786,0.1500,0.1500
-2.835401,-3.729611,0.1500,0.1500
-2.880108,-3.683584,0.1500,0.1500
-2.924645,-3.636891,0.1500,0.1500
-2.968076,-3.590575,0.1500,0.1500
-3.011320,-3.543828,0.1500,0.1500
-3.054313,-3.496717,0.1500,0.1500
-3.096994,-3.449311,0.1500,0.1500
-3.139305,-3.400697,0.1500,0.1500
-3.180322,-3.351819,0.1500,0.1500
-3.220972,-3.302750,0.1500,0.1500
-3.261206,-3.253568,0.1500,0.1500
-3.300972,-3.203370,0.1500,0.1500
-3.340224,-3.153106,0.1500,0.1500
-3.378049,-3.102859,0.1500,0.1500
-3.415387,-3.051730,0.1500,0.1500
-3.452197,-3.000677,0.1500,0.1500
-3.488441,-2.949788,0.1500,0.1500
-3.524083,-2.899155,0.1500,0.1500
-3.559092,-2.847888,0.1500,0.1500
-3.593438,-2.796951,0.1500,0.1500
-3.626223,-2.746443,0.1500,0.1500
-3.658405,-2.695478,0.1500,0.1500
-3.689961,-2.645028,0.1500,0.1500
-3.720869,-2.594211,0.1500,0.1500
-3.751111,-2.544000,0.1500,0.1500
-3.780671,-2.493516,0.1500,0.1500
-3.809536,-2.442751,0.1500,0.1638
-3.837697,-2.391697,0.1500,0.1903
-3.865147,-2.341329,0.1500,0.2005
-3.891881,-2.290772,0.1500,0.2017
-3.917897,-2.240020,0.1500,0.2038
-3.944069,-2.190052,0.1500,0.2038
-3.970287,-2.139996,0.1500,0.2038
-3.995467,-2.089847,0.1500,0.2038
-4.020379,-2.038734,0.1500,0.2038
-4.044929,-1.987635,0.1500,0.2017
-4.069032,-1.936544,0.1500,0.2017
-4.092604,-1.884586,0.1500,0.2017
-4.115569,-1.832737,0.1500,0.1946
-4.137857,-1.780117,0.1500,0.1533
-4.159403,-1.727702,0.1500,0.1506
-4.180147,-1.675592,0.1500,0.1500
-4.200036,-1.623892,0.1500,0.1500
-4.218038,-1.571720,0.1500,0.1500
-4.234976,-1.519177,0.1500,0.1500
-4.250812,-1.466359,0.1500,0.1500
-4.265513,-1.413362,0.1500,0.1500
-4.279048,-1.360277,0.1500,0.1500
-4.291397,-1.307193,0.1500,0.1500
-4.302542,-1.254196,0.1500,0.1500
-4.311487,-1.201369,0.1500,0.1500
-4.319093,-1.148794,0.1500,0.1500
-4.325359,-1.096548,0.1500,0.1500
-4.330287,-1.044705,0.1579,0.1500
-4.333885,-0.993338,0.1711,0.1500
-4.335183,-0.942516,0.1845,0.1500
-4.335068,-0.892304,0.1902,0.1500
-4.332578,-0.842768,0.1925,0.1500
-4.328609,-0.793967,0.1958,0.1500
-4.323192,-0.745959,0.2004,0.1500
-4.316363,-0.698799,0.2085,0.1500
-4.307180,-0.652541,0.2181,0.1500
